,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
0,MamF,,613A1F,7,False,734881840,17,175,3,15737,mammillary floor,,,12,15736,mammillary floor,10075,6,/15564/15565/15566/15567/15568/15622/15736/15737/,3526712253,8390
1,p2AL,,FFED64,7,False,734881840,17,866,3,16395,lateral part of alar p2,,,12,16382,lateral part of alar p2,10766,6,/15564/15565/15566/16308/16375/16376/16382/16395/,2569771100,8390
2,THyB-D,,86522E,7,False,734881840,17,105,3,15667,dorsal part of THyB,,,12,15666,dorsal part of THyB,10005,6,/15564/15565/15566/15567/15568/15622/15666/15667/,3424883915,8390
3,RHb,,FEF3A8,7,False,734881840,17,852,3,16381,retrohabenular thalamic area,,,12,16377,retrohabenular thalamic area,10752,6,/15564/15565/15566/16308/16375/16376/16377/16381/,1503219476,8390
4,TPaA,,A8663A,7,False,734881840,17,62,3,15624,terminal paraventricular area of THyA,,,12,15623,terminal paraventricular area of THyA,9962,6,/15564/15565/15566/15567/15568/15622/15623/15624/,2951961252,8390
5,THyB-V,,86522E,7,False,734881840,17,140,3,15702,ventral part of THyB,,,12,15666,ventral part of THyB,10040,6,/15564/15565/15566/15567/15568/15622/15666/15702/,1676873956,8390
6,EPg,,A8663A,7,False,734881840,17,73,3,15635,"eye vesicle, pigmented retina",,,12,15623,eye vesicle pigmented retina,9973,6,/15564/15565/15566/15567/15568/15622/15623/15635/,1583869396,8390
7,isADL,,EA37FF,6,False,734881840,17,1347,3,16843,dorsolateral (non-cerebellar) part of isA,,,12,16813,dorsolateral (non-cerebellar) part of isA,11247,6,/15564/15565/16808/16809/16810/16813/16843/,2863884976,8390
8,POH,,A84D10,7,False,734881840,17,51,3,15613,preopto-hypothalamic band,,,12,15576,preopto-hypothalamic band,9951,6,/15564/15565/15566/15567/15568/15569/15576/15613/,2489052773,8390
9,PHyB-I,,B25B46,7,False,734881840,17,724,3,16259,intermediate part of PHyB,,,12,16247,intermediate part of PHyB,10624,6,/15564/15565/15566/15567/15738/16211/16247/16259/,585120338,8390
10,m2AVL,,00D100,6,False,734881840,17,1275,3,16780,ventrolateral part of m2A,,,12,16754,ventrolateral part of m2A,11175,6,/15564/15565/16649/16751/16752/16754/16780/,3722163544,8390
11,PSPa,,DF7257,7,False,734881840,17,698,3,16233,peduncular subparaventricular area,,,12,16212,peduncular subparaventricular area,10598,6,/15564/15565/15566/15567/15738/16211/16212/16233/,1116063609,8390
12,PHyB-P,,B25B46,7,False,734881840,17,750,3,16285,perimammillary part of PHyB,,,12,16247,perimammillary part of PHyB,10650,6,/15564/15565/15566/15567/15738/16211/16247/16285/,3412584586,8390
13,m1AL,,17B317,6,False,734881840,17,1190,3,16703,lateral part of alar m1,,,12,16658,lateral part of alar m1,11090,6,/15564/15565/16649/16650/16651/16658/16703/,4283344378,8390
14,m2ADL,,00D100,6,False,734881840,17,1257,3,16762,dorsolateral part of m2A,,,12,16754,dorsolateral part of m2A,11157,6,/15564/15565/16649/16751/16752/16754/16762/,1483192823,8390
15,m1ADL,,17B317,6,False,734881840,17,1154,3,16668,dorsolateral part of m1A,,,12,16658,dorsolateral part of m1A,11054,6,/15564/15565/16649/16650/16651/16658/16668/,1934289460,8390
16,PCom,,F4E35F,7,False,734881840,17,987,3,16512,bed area of the posterior commissure,,,12,16511,bed area of the posterior commissure,10887,6,/15564/15565/15566/16308/16509/16510/16511/16512/,1248948016,8390
17,RMaF,,9E5D4C,7,False,734881840,17,772,3,16307,retromammillary floor,,,12,16306,retromammillary floor,10672,6,/15564/15565/15566/15567/15738/16211/16306/16307/,1601222941,8390
18,THyB-I,,86522E,7,False,734881840,17,122,3,15684,intermediate part of THyB,,,12,15666,intermediate part of THyB,10022,6,/15564/15565/15566/15567/15568/15622/15666/15684/,2911022341,8390
19,m1AD,,17B317,6,False,734881840,17,1145,3,16659,dorsal part of m1A,,,12,16658,dorsal part of m1A,11045,6,/15564/15565/16649/16650/16651/16658/16659/,3721169646,8390
20,isAVL,,EA37FF,6,False,734881840,17,1373,3,16864,ventrolateral part of isA,,,12,16813,ventrolateral part of isA,11273,6,/15564/15565/16808/16809/16810/16813/16864/,867197888,8390
21,p3AD,,FFF4A4,7,False,734881840,17,781,3,16314,dorsal part of alar p3,,,12,16313,dorsal part of alar p3,10681,6,/15564/15565/15566/16308/16309/16310/16313/16314/,3146656036,8390
22,ES,,A8663A,7,False,734881840,17,72,3,15634,"eye vesicle, stalk/nerve",,,12,15623,eye vesicle stalk/nerve,9972,6,/15564/15565/15566/15567/15568/15622/15623/15634/,2263698757,8390
23,TCh,,FAB17C,7,False,734881840,17,187,3,15749,telencephalic choroidal formation,,,12,15740,telencephalic choroidal formation,10087,6,/15564/15565/15566/15567/15738/15739/15740/15749/,4027756765,8390
24,p3AL,,FFF4A4,7,False,734881840,17,789,3,16322,lateral part of alar p3,,,12,16313,lateral part of alar p3,10689,6,/15564/15565/15566/16308/16309/16310/16313/16322/,3995904202,8390
25,m2AL,,00D100,6,False,734881840,17,1266,3,16771,lateral part of m2A,,,12,16754,lateral part of m2A,11166,6,/15564/15565/16649/16751/16752/16754/16771/,615752919,8390
26,PHyB-V,,B25B46,7,False,734881840,17,739,3,16274,ventral part of PHyB,,,12,16247,ventral part of PHyB,10639,6,/15564/15565/15566/15567/15738/16211/16247/16274/,3968960435,8390
27,PPaA,,DF7257,7,False,734881840,17,678,3,16213,peduncular paraventricular area of PHyA,,,12,16212,peduncular paraventricular area of PHyA,10578,6,/15564/15565/15566/15567/15738/16211/16212/16213/,4261964121,8390
28,CoP,,FFE524,7,False,734881840,17,1057,3,16578,commissural pretectal domain,,,12,16519,commissural pretectal domain,10957,6,/15564/15565/15566/16308/16509/16510/16519/16578/,224067601,8390
29,THyB-P,,86522E,7,False,734881840,17,150,3,15712,perimammillary part of THyB,,,12,15666,perimammillary part of THyB,10050,6,/15564/15565/15566/15567/15568/15622/15666/15712/,1141211101,8390
30,PHyB-M,,B25B46,7,False,734881840,17,759,3,16294,mammillary part of PHyB,,,12,16247,mammillary part of PHyB,10659,6,/15564/15565/15566/15567/15738/16211/16247/16294/,760587788,8390
31,TelH,,AB382E,7,False,734881840,17,670,3,16205,telencephalo-hypothalamic transition area,,,12,15750,telencephalo-hypothalamic transition area,10570,6,/15564/15565/15566/15567/15738/15739/15750/16205/,1625479905,8390
32,EN,,A8663A,7,False,734881840,17,74,3,15636,"eye vesicle, neural retina",,,12,15623,eye vesicle neural retina,9974,6,/15564/15565/15566/15567/15568/15622/15623/15636/,262630743,8390
