,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
0,PERCx,,F2193C,9,False,734881840,17,538,3,16086,perirhinal-ectorhinal cortex,,,12,16001,perirhinal-ectorhinal cortex,10438,8,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16086/,2117377470,8390
1,S,,FF4865,9,False,734881840,17,619,3,16163,subiculum,,,12,16114,subiculum,10519,8,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16163/,1521518645,8390
2,SeDg,,F37321,9,False,734881840,17,225,3,15785,septodiagonal transition area,,,12,15784,septodiagonal transition area,10125,8,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15785/,1422452857,8390
3,SePal,,F37321,9,False,734881840,17,237,3,15797,septopallidal transition area,,,12,15784,septopallidal transition area,10137,8,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/,386701001,8390
4,LPrP,,E76E3E,9,False,734881840,17,426,3,15979,lateropallial prepiriform area,,,12,15956,lateropallial prepiriform area,10326,8,/15564/15565/15566/15567/15738/15739/15750/15903/15956/15979/,3961128024,8390
5,AHy,,E6A723,9,False,734881840,17,338,3,15893,hypothalamic amygdala,,,12,15867,hypothalamic amygdala,10238,8,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15893/,1347129679,8390
6,Mam,,86522E,8,False,734881840,17,161,3,15723,mammillary area,,,12,15722,mammillary area,10061,8,/15564/15565/15566/15567/15568/15622/15666/15722/15723/,2710324028,8390
7,RSCx,,F2193C,9,False,734881840,17,545,3,16093,retrosplenial cortex,,,12,16001,retrosplenial cortex,10445,8,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16093/,786691521,8390
8,DG,,FF4865,9,False,734881840,17,572,3,16115,dentate gyrus,,,12,16114,dentate gyrus,10472,8,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16115/,3237694519,8390
9,VAP,,DA4335,9,False,734881840,17,387,3,15940,ventropallial amygdalopiriform area,,,12,15904,ventropallial amygdalopiriform area,10287,8,/15564/15565/15566/15567/15738/15739/15750/15903/15904/15940/,555917663,8390
10,AOB,,E76E3E,9,False,734881840,17,404,3,15957,accessory olfactory bulb,,,12,15956,accessory olfactory bulb,10304,8,/15564/15565/15566/15567/15738/15739/15750/15903/15956/15957/,923512985,8390
11,SeStr,,F37321,9,False,734881840,17,249,3,15809,septostriatal transition area (accumbens),,,12,15784,septostriatal transition area (accumbens),10149,8,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15809/,409724407,8390
12,DgSe,,FAA41A,9,False,734881840,17,193,3,15753,diagonal part of septum,,,12,15752,diagonal part of septum,10093,8,/15564/15565/15566/15567/15738/15739/15750/15751/15752/15753/,2954678432,8390
13,LTer,,B46632,8,False,734881840,17,16,3,15578,lamina terminalis area,,,12,15577,lamina terminalis area,9916,8,/15564/15565/15566/15567/15568/15569/15576/15577/15578/,2793434893,8390
14,Str,,E58724,9,False,734881840,17,296,3,15851,striatum (corpus striatum),,,12,15818,striatum (corpus striatum),10196,8,/15564/15565/15566/15567/15738/15739/15750/15751/15818/15851/,2725595069,8390
15,IG,,FF4865,9,False,734881840,17,603,3,16147,induseum griseum,,,12,16114,induseum griseum,10503,8,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16147/,1762600010,8390
16,PaS,,FF4865,9,False,734881840,17,641,3,16186,parasubiculum,,,12,16114,parasubiculum,10541,8,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16186/,581239430,8390
17,ERCx,,F2193C,9,False,734881840,17,554,3,16102,entorhinal cortex,,,12,16001,entorhinal cortex,10454,8,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16102/,1396093140,8390
18,FCx,,F2193C,9,False,734881840,17,454,3,16002,frontal cortex,,,12,16001,frontal cortex,10354,8,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16002/,2595444130,8390
19,OB,,DA4335,9,False,734881840,17,352,3,15905,"olfactory bulb, principal part",,,12,15904,olfactory bulb principal part,10252,8,/15564/15565/15566/15567/15738/15739/15750/15903/15904/15905/,2636093540,8390
20,CSCom,,FAB17C,7,False,734881840,17,179,3,15741,caudal septocommissural area,,,12,15740,caudal septocommissural area,10079,8,/15564/15565/15566/15567/15738/15739/15740/15741/,1906964674,8390
21,AOV,,DA4335,9,False,734881840,17,364,3,15917,"anterior olfactory area, ventral part",,,12,15904,anterior olfactory area ventral part,10264,8,/15564/15565/15566/15567/15738/15739/15750/15903/15904/15917/,3652621312,8390
22,CA,,FF4865,9,False,734881840,17,581,3,16124,hippocampus (cortex Ammonis),,,12,16114,hippocampus (cortex Ammonis),10481,8,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16124/,2854356595,8390
23,PrS,,FF4865,9,False,734881840,17,627,3,16172,presubiculum,,,12,16114,presubiculum,10527,8,/15564/15565/15566/15567/15738/15739/15750/15903/16114/16172/,1923546886,8390
24,InsCx,,F2193C,9,False,734881840,17,510,3,16058,insular cortex,,,12,16001,insular cortex,10410,8,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16058/,991428482,8390
25,APal,,E6A723,9,False,734881840,17,323,3,15878,pallidal amygdala,,,12,15867,pallidal amygdala,10223,8,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15878/,509654989,8390
26,AStr,,E6A723,9,False,734881840,17,313,3,15868,striatal amygdala,,,12,15867,striatal amygdala,10213,8,/15564/15565/15566/15567/15738/15739/15750/15751/15867/15868/,2855131143,8390
