,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
0,Pacap,,E4866F,12,False,734881840,17,685,3,16220,cap part of PPa,,,12,16219,cap part of PPa,10585,13,/15564/15565/15566/15567/15738/16211/16212/16213/16215/16216/16217/16219/16220/,1830954800,8390
1,PaLM,,E4866F,12,False,734881840,17,686,3,16221,lateral magnocellular part of PPa,,,12,16219,lateral magnocellular part of PPa,10586,13,/15564/15565/15566/15567/15738/16211/16212/16213/16215/16216/16217/16219/16221/,3219244292,8390
2,IntDL,,F284FF,11,False,734881840,17,1449,3,16931,dorsolateral part of Int,,,12,16929,dorsolateral part of Int,11349,13,/15564/15565/16808/16809/16915/16919/16920/16924/16927/16928/16929/16931/,664699312,8390
3,LatPC,,F284FF,11,False,734881840,17,1453,3,16935,parvicellular part of Lat,,,12,16933,parvicellular part of Lat,11353,13,/15564/15565/16808/16809/16915/16919/16920/16924/16927/16928/16933/16935/,355155762,8390
4,MedDL,,F070FF,11,False,734881840,17,1330,3,16826,dorsolateral part of Med,,,12,16823,dorsolateral part of Med,11230,13,/15564/15565/16808/16809/16810/16813/16814/16818/16821/16822/16823/16826/,3738493123,8390
5,MedL,,F070FF,11,False,734881840,17,1329,3,16825,lateral part of Med,,,12,16823,lateral part of Med,11229,13,/15564/15565/16808/16809/16810/16813/16814/16818/16821/16822/16823/16825/,2717973987,8390
6,PaMP,,E4866F,12,False,734881840,17,688,3,16223,medial parvicellular part of PPa,,,12,16219,medial parvicellular part of PPa,10588,13,/15564/15565/15566/15567/15738/16211/16212/16213/16215/16216/16217/16219/16223/,1192503938,8390
7,IntA,,F284FF,11,False,734881840,17,1448,3,16930,anterior part of Int,,,12,16929,anterior part of Int,11348,13,/15564/15565/16808/16809/16915/16919/16920/16924/16927/16928/16929/16930/,4007423145,8390
8,LatDL,,F284FF,11,False,734881840,17,1452,3,16934,dorsolateral part of Lat,,,12,16933,dorsolateral part of Lat,11352,13,/15564/15565/16808/16809/16915/16919/16920/16924/16927/16928/16933/16934/,2798477204,8390
9,MedM,,F070FF,11,False,734881840,17,1328,3,16824,medial (main) part of Med,,,12,16823,medial (main) part of Med,11228,13,/15564/15565/16808/16809/16810/16813/16814/16818/16821/16822/16823/16824/,316756599,8390
10,IntP,,F284FF,11,False,734881840,17,1450,3,16932,posterior part of Int,,,12,16929,posterior part of Int,11350,13,/15564/15565/16808/16809/16915/16919/16920/16924/16927/16928/16929/16932/,3042027576,8390
11,PaMM,,E4866F,12,False,734881840,17,687,3,16222,medial magnocellular part of PPa,,,12,16219,medial magnocellular part of PPa,10587,13,/15564/15565/15566/15567/15738/16211/16212/16213/16215/16216/16217/16219/16222/,300605474,8390
