,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
0,PHy,,DF7257,5,False,734881840,17,676,3,16211,peduncular (caudal) hypothalamus,,,12,15738,peduncular (caudal) hypothalamus,10576,4,/15564/15565/15566/15567/15738/16211/,845661386,8390
1,v_PTh,,FFF9C7,5,False,734881840,17,2587,3,126651642,"ventricles, prethalamus",,,12,126651638,ventricles prethalamus,12487,4,/15564/126651558/126651562/126651634/126651638/126651642/,3957343965,8390
2,v_ThTg,,CCBE50,5,False,734881840,17,2597,3,126651682,"ventricles, thalamic tegmentum",,,12,126651666,ventricles thalamic tegmentum,12497,4,/15564/126651558/126651562/126651634/126651666/126651682/,2801251756,8390
3,v_THy,,A8663A,5,False,734881840,17,2573,3,126651586,"ventricles, terminal hypothalamus (rostral hypothalamus)",,,12,126651570,ventricles terminal hypothalamus (rostral hypothalamus),12473,4,/15564/126651558/126651562/126651566/126651570/126651586/,1292829440,8390
4,v_Tel,,ED985C,5,False,734881840,17,2578,3,126651606,"ventricles, telencephalic vesicle",,,12,126651602,ventricles telencephalic vesicle,12478,4,/15564/126651558/126651562/126651566/126651602/126651606/,3363954626,8390
5,ThTg,,CCBE50,5,False,734881840,17,961,3,16486,thalamic tegmentum,,,12,16375,thalamic tegmentum,10861,4,/15564/15565/15566/16308/16375/16486/,3170267059,8390
6,PtTg,,CCB71D,5,False,734881840,17,1105,3,16623,pretectal tegmentum,,,12,16509,pretectal tegmentum,11005,4,/15564/15565/15566/16308/16509/16623/,3371026800,8390
7,PIsTg,,00A700,4,False,734881840,17,1285,3,16790,preisthmic tegmentum,,,12,16751,preisthmic tegmentum,11185,4,/15564/15565/16649/16751/16790/,367874371,8390
8,v_PIsTg,,00A700,4,False,734881840,17,2619,3,126651770,"ventricles, preisthmic tegmentum",,,12,126651754,ventricles preisthmic tegmentum,12519,4,/15564/126651558/126651722/126651754/126651770/,3199303190,8390
9,THy,,A8663A,5,False,734881840,17,60,3,15622,terminal hypothalamus (rostral hypothalamus),,,12,15568,terminal hypothalamus (rostral hypothalamus),9960,4,/15564/15565/15566/15567/15568/15622/,4122101128,8390
10,Pt,,FFE524,5,False,734881840,17,985,3,16510,pretectum,,,12,16509,pretectum,10885,4,/15564/15565/15566/16308/16509/16510/,4212169993,8390
11,v_MTt,,17B317,4,False,734881840,17,2609,3,126651730,"ventricles, collicular (rostral) midbrain tectum",,,12,126651726,ventricles collicular (rostral) midbrain tectum,12509,4,/15564/126651558/126651722/126651726/126651730/,3819732743,8390
12,v_PtTg,,CCB71D,5,False,734881840,17,2604,3,126651710,"ventricles, pretectal tegmentum",,,12,126651694,ventricles pretectal tegmentum,12504,4,/15564/126651558/126651562/126651634/126651694/126651710/,1174390111,8390
13,v_Pt,,FFE524,5,False,734881840,17,2601,3,126651698,"ventricles, pretectum",,,12,126651694,ventricles pretectum,12501,4,/15564/126651558/126651562/126651634/126651694/126651698/,1969410495,8390
14,PIsTt,,00D100,4,False,734881840,17,1240,3,16752,preisthmic midbrain tectum,,,12,16751,preisthmic midbrain tectum,11140,4,/15564/15565/16649/16751/16752/,557548588,8390
15,PTh,,FFF9C7,5,False,734881840,17,775,3,16310,prethalamus,,,12,16309,prethalamus,10675,4,/15564/15565/15566/16308/16309/16310/,638962730,8390
