,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,name,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
0,OB-Opl,,DE5548,12,False,734881840,17,360,3,15913,OB outer plexiform layer,,,12,15911,OB outer plexiform layer,10260,11,/15564/15565/15566/15567/15738/15739/15750/15903/15904/15905/15907/15911/15913/,1015713573,8390
1,ICBR,,4EC54E,9,False,734881840,17,1198,3,16711,"nucleus of the inferior collicular brachium, rostral part",,,12,16710,nucleus of the inferior collicular brachium rostral part,11098,11,/15564/15565/16649/16650/16651/16658/16703/16705/16710/16711/,1646143885,8390
2,r7VPCRt,,56E4CD,9,False,734881840,17,2039,3,17379,r7 part of ventral parvicellular reticular formation,,,12,111220830,r7 part of ventral parvicellular reticular formation,11939,11,/15564/15565/16808/17352/17353/17355/17373/17375/111220830/17379/,4181790571,8390
3,BSTLS,,F5853A,12,False,734881840,17,241,3,15801,"bed nucleus of the stria terminalis, lateroseptal division",,,12,15800,bed nucleus of the stria terminalis lateroseptal division,10141,11,/15564/15565/15566/15567/15738/15739/15750/15751/15784/15797/15799/15800/15801/,1705698831,8390
4,r10-RP,,83C3AC,9,False,734881840,17,2314,3,17593,r10 raphe pallidus cell population,,,12,17592,r10 raphe pallidus cell population,12214,11,/15564/15565/16808/17352/17538/17562/17581/17583/17592/17593/,1825781971,8390
5,Rh,,FFF189,11,False,734881840,17,878,3,16405,rhomboid nucleus,,,12,16399,rhomboid nucleus,10778,11,/15564/15565/15566/16308/16375/16376/16382/16395/16396/16398/16399/16405/,2186187403,8390
6,ABass,,975C34,10,False,734881840,17,119,3,15681,shell part of the anterobasal nucleus,,,12,15680,shell part of the anterobasal nucleus,10019,11,/15564/15565/15566/15567/15568/15622/15666/15667/15669/15680/15681/,1586989965,8390
7,r7-RO,,10C3A7,9,False,734881840,17,2072,3,17408,r7 raphe obscurus cell population,,,12,17407,r7 raphe obscurus cell population,11972,11,/15564/15565/16808/17352/17353/17380/17400/17402/17407/17408/,3122206602,8390
8,r8BMRt,,47C3AC,9,False,734881840,17,2152,3,17469,r8 part of basomedial reticular formation,,,12,17467,r8 part of basomedial reticular formation,12052,11,/15564/15565/16808/17352/17416/17437/17460/17462/17467/17469/,3326415183,8390
9,LDTg,,F284FF,9,False,734881840,17,1489,3,16964,laterodorsal tegmental nucleus,,,12,111220636,laterodorsal tegmental nucleus,11389,11,/15564/15565/16808/16809/16915/16919/16959/16961/111220636/16964/,3732423028,8390
10,SO,,B0754D,10,False,734881840,17,71,3,15633,supraoptic nucleus,,,12,15632,supraoptic nucleus,9971,11,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15632/15633/,3162834834,8390
11,TSyP,,D4CCC0,7,False,734881840,17,2454,3,17704,thoracic sympathetic preganglionic neurons,,,12,17698,thoracic sympathetic preganglionic neurons,12354,11,/15564/15565/17651/17692/17693/17695/17698/17704/,2163028719,8390
12,OC-3,,F32F4F,12,False,734881840,17,490,3,16038,layer 3 of OCx,,,12,16035,layer 3 of OCx,10390,11,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16030/16032/16035/16038/,965402730,8390
13,r2BICG,,D673E6,9,False,734881840,17,1627,3,17070,r2 part of central gray,,,12,17069,r2 part of central gray,11527,11,/15564/15565/16808/16809/17023/17053/17066/17068/17069/17070/,2852750890,8390
14,ER-3,,F32F4F,12,False,734881840,17,562,3,16110,layer 3 of ERCx,,,12,16107,layer 3 of ERCx,10462,11,/15564/15565/15566/15567/15738/15739/15750/15903/16001/16102/16104/16107/16110/,1869206078,8390
15,UDLH,,E4866F,10,False,734881840,17,693,3,16228,upper dorsal lateral hypothalamic area,,,12,16225,upper dorsal lateral hypothalamic area,10593,11,/15564/15565/15566/15567/15738/16211/16212/16213/16215/16225/16228/,1619457434,8390
16,DJcP,,F4E35F,11,False,734881840,17,1034,3,16555,dorsal juxtacommissural pretectal nucleus,,,12,16554,dorsal juxtacommissural pretectal nucleus,10934,11,/15564/15565/15566/16308/16509/16510/16519/16548/16549/16551/16554/16555/,1791488274,8390
